0,1,2,3,4,5,6,7,8
0.0,0.0,0.0,559.1919382181202,0.0,471.22025676751053,0.0,0.0,0.0
0.0,0.0,821.6658150229944,811.1867119479954,0.0,0.0,0.0,0.0,0.0
0.0,0.0,767.7138960206967,787.3637471924585,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,912.3013537374926,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,642.2081027532964,795.2567764200999,0.0
0.0,0.0,0.0,839.9838658381141,0.0,0.0,663.724784406144,0.0,0.0
0.0,0.0,0.0,0.0,502.3294336887877,519.6004849604526,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,726.3372928803814,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,677.8611534119041,0.0,647.984721097583
0.0,540.3408102938619,500.4191763753491,0.0,0.0,0.0,0.0,0.0,0.0
0.0,465.8299739648945,433.2616487455195,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,554.8795615516495,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,539.490413709566,538.1153806928685,0.0,0.0,0.0,0.0,0.0
0.0,0.0,416.2196828358209,415.871894501354,0.0,0.0,0.0,0.0,0.0
0.0,0.0,500.81644771023525,498.52133502323613,0.0,0.0,0.0,0.0,0.0
0.0,0.0,440.44339498884955,495.70234310608737,0.0,0.0,0.0,0.0,0.0
0.0,0.0,410.01538832341436,0.0,0.0,0.0,0.0,0.0,0.0
677.5832862789384,621.3569707074686,0.0,0.0,0.0,0.0,640.6395896878057,680.7866868381241,0.0
0.0,0.0,0.0,894.3667610171008,0.0,776.8636786931185,0.0,0.0,0.0
0.0,0.0,0.0,1011.4558932066876,0.0,968.7989398867606,965.7206610586868,1007.5069142631371,1352.5822493229823
0.0,0.0,835.1638864801473,874.2096187009008,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,477.42277764678147,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,881.2888126225765,0.0,0.0,0.0
0.0,0.0,0.0,742.876346463378,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,742.7618391376427,0.0,0.0,0.0
0.0,0.0,0.0,823.9171374764595,0.0,698.0734732080181,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,678.7620245757038,596.5088534471932,0.0,0.0
0.0,0.0,678.6731786731787,699.833278038538,0.0,0.0,0.0,0.0,0.0
0.0,0.0,586.9505869505869,600.0263230828663,0.0,0.0,0.0,0.0,0.0
0.0,0.0,633.386790289321,748.1121202292292,0.0,704.2062082877435,559.451313280433,0.0,0.0
