0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.1919382181202,0.0,0.0,471.22025676751053,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,821.6658150229944,811.1867119479954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,767.7138960206967,787.3637471924585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,912.3013537374926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.2081027532964,682.1733381416036,908.3402146985962,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,839.9838658381141,0.0,0.0,0.0,663.724784406144,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.3294336887877,0.0,519.6004849604526,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.3372928803814,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689.6051103368177,673.9465011035995,0.0,0.0,599.6761798564396,696.2932623387262
0.0,0.0,540.3408102938619,500.4191763753491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,465.8299739648945,433.2616487455195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,576.2029394000403,551.5477837628384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,539.490413709566,538.1153806928685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,416.2196828358209,0.0,0.0,415.871894501354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,500.81644771023525,0.0,498.52133502323613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,440.44339498884955,0.0,0.0,495.70234310608737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,410.01538832341436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
677.5832862789384,653.3996923724699,573.2928882099666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.6395896878057,680.7866868381241,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,894.3667610171008,0.0,776.8636786931185,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.4558932066876,0.0,0.0,951.5992792675842,0.0,1003.1067913476476,1031.4697087700567,0.0,1553.88081734131
0.0,0.0,0.0,0.0,835.1638864801473,0.0,0.0,874.2096187009008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.42277764678147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,881.2888126225765,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.876346463378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.7618391376427,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,823.9171374764595,0.0,0.0,698.0734732080181,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725.5634171907756,631.960631960632,596.5088534471932,0.0,0.0,0.0,0.0
0.0,0.0,0.0,678.6731786731787,0.0,0.0,652.1435553693618,747.5230007077141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,586.9505869505869,0.0,622.8219767183214,0.0,594.3274096740025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,633.386790289321,769.6759259259259,0.0,728.3452983405908,0.0,735.193175132379,673.2192414431082,0.0,559.451313280433,0.0,0.0,0.0
0.0,0.0,0.0,592.020592020592,0.0,636.4153135117768,0.0,595.0335412498529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.661317100166,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.3450588307016,0.0,0.0,0.0
